 Josh Brolin,456,10.6
 Brie Larson,98,8.36
 Pom Klementieff,1,0.757
 Karen Gillan,2,8.74
 Elizabeth Olsen,349,14.0
 Donald Glover,542,17.1
 Adrianne Palicki,22,1.98
 Tom Holland,29,12.5
 Jacob Elordi,31010,1.08
 Ryan Reynolds,219,46.1
 Robert Downey Jr,214,24.4
 Courtney Henggeler,5160,0.112
 Tessa Thompson,240,4.45
 Chris Hemsworth,226,21.6
 Zoe Saldana,6,12.8
 Yvonne Strahovski,14,8.19
 Halston Sage,49,0.693
 Evan Rachel Wood,340,6.61
 Joey King,398,8.93
 Chris Evans,93,20.2
 Scarlett Johansson,35,35.7
 Morena Baccarin,137,4.93
 Chadwick Boseman,2128,8.36
 Michael B Jordan,1665,12.4
 Odette Annable,24,0.755
 Letitia Wright,13322,3.28
 Katja Herbers,1755,0.195
 Benedict Cumberbatch,255,18.3
 Tom Hardy,17,12.9
 Alden Ehrenreich,1072,2.22
 Sebastian Stan,381,8.47
 Alexandra Daddario,12,12.9
 Tom Hiddleston,260,14.7
 Amanda Seyfried,617,24.2
 Rebecca Ferguson,173,3.52
 Emilia Clarke,46,24.4
 Meghan Markle,167,90.5
 Alexander Ludwig,42,3.2
 Evangeline Lilly,395,8.96
 Pauley Perrette,715,6.18
 William Zabka,3358,0.154
 Margot Robbie,27,24.7
 Talulah Riley,1288,0.215
 Chris Pratt,11,28.2
 Rachel McAdams,121,13.1
 Clayne Crawford,777,0.396
 Parker Posey,1398,0.898
 Naomi Scott,107,3.26
 Bryce Dallas Howard,74,8.7
 Olivia Munn,187,27.8
 Jesse Plemons,1075,0.322
 Zazie Beetz,3940,0.8
 Danai Gurira,2586,3.71
 Jennifer Lawrence,41,43.5
 Rosario Dawson,48,8.98
 Alba August,87178,0.0376
 Carrie Coon,63,0.253
 Ralph Macchio,1503,2.4
 Michael C Hall,1135,1.54
 Riley Keough,809,1.71
 Charlize Theron,72,30.7
 Mary Mouser,2748,0.104
 Cate Blanchett,138,20.6
 Paul Bettany,1119,3.29
 Dave Bautista,5,4.01
 Taron Egerton,90,4.39
 Lily James,205,4.19
 Mina Sundwall,25219,0.0439
 Christina Hendricks,52,8.61
 Shohreh Aghdashloo,100,0.362
 Ana de Armas,8,16.0
 Meg Foster,259,0.199
 Gal Gadot,15,23.5
 Blake Lively,51,31.9
 Maggie Grace,849,2.13
 Katherine Langford,9,2.65
 Michelle Williams,579,12.4
 Mackenzie Davis,73,1.18
 Dwayne Johnson,82,24.1
 Lupita Nyongo,2071,1.04
 Bar Paly,2616,0.212
 Olivia Cooke,840,1.18
 Andy Serkis,1721,2.53
 Keanu Reeves,143,15.9
 Henry Cavill,171,16.3
